"tract","Name","Median_Rent_2012-16"
16005001603,"Pocatello, ID",538
42129805400,"Monessen, PA",533
29007950200,"Rush Hill, MO",525
54055001700,"Bluefield, WV",512
28017950200,"New Houlka, MS",501
22025000300,"Jonesville, LA",496
72127009400,"San Juan, PR",483
13121004200,"West End, Atlanta, GA",469
47163043202,"Bristol, TN",447
28095950502,"Aberdeen, MS",415
1107050300,"Carrollton, AL",410
42003488600,"West Mifflin, PA",340
25017383901,"Framingham, MA",278
37097080100,,
12086008209,"Palmetto Bay, FL",3501
6013355113,"Danville, CA",3501
12099007009,"Boca Raton, FL",3501
6037143901,"Studio City, Los Angeles, CA",3501
36103110801,"Northport, NY",3501
36061005700,"Lower Manhattan, New York, NY",3501
34035052601,"Far Hills, NJ",3426
6071002022,"Etiwanda, Rancho Cucamonga, CA",3095
15003008406,"Ewa, Ewa Beach, HI",3076
9001011000,"Old Greenwich, Greenwich, CT",2844
53033032326,"Woodinville, WA",2756
36061005400,"Midtown, New York, NY",2624
36059407600,"Westbury, NY",2532
6081611300,"Redwood City, CA",2438
6081611500,"Lindenwood, Atherton, CA",2375
6037109300,"Granada Hills, Los Angeles, CA",2371
6001404200,"Upper Rockridge, Oakland, CA",2263
36103134907,"Kings Park, NY",2167
6075012602,"Marina District, San Francisco, CA",2096
51177020107,"Fredericksburg, VA",2087
6075023003,"Bayview, San Francisco, CA",2076
6073010800,"Coronado, CA",2063
6037800329,"Agoura Hills, CA",2048
9003514900,"Central Manchester, Manchester, CT",2006
53061052006,"The Highlands at Mill Creek, Mill Creek, WA",1982
6037621301,"South Redondo, Redondo Beach, CA",1976
9001010300,"Greenwich, CT",1900
36059416401,"Long Beach, NY",1857
53033002200,"Northeast Seattle, Seattle, WA",1854
48491020106,"Berry Creek, Georgetown, TX",1826
48121021631,"North Central Carrollton, Carrollton, TX",1813
6087122201,"Aptos, CA",1810
6073020710,"Kit Carson, Escondido, CA",1792
6037214400,"Central LA, Los Angeles, CA",1755
6059021807,"Anaheim Hills, Anaheim, CA",1728
34027046298,"Long Valley, Washington Township, NJ",1718
48121021303,"Denton, TX",1709
36059413900,"Roosevelt, NY",1671
18057110804,"Fortville, IN",1658
51059452502,"Lincolnia, VA",1637
6113010605,"Lake Alhambra Estates, Davis, CA",1613
12011110403,"Miramar, FL",1585
12021010418,"Central Naples, Naples, FL",1576
12021010212,"Naples, FL",1574
48453001843,"North Austin, Austin, TX",1543
27037061009,"Rosemount, MN",1503
51013102302,"Barcroft, Arlington, VA",1499
36047064800,"Kings County, NY",1495
17197881009,"Lockport, IL",1494
39035184106,"Solon, OH",1488
6065040403,"Mira Loma, Riverside, CA",1473
12009066101,"Melbourne Beach, FL",1462
17031062600,"West Lakeview, Chicago, IL",1458
6065051100,"Moreno Valley, CA",1451
6097151308,"Rohnert Park, CA",1432
27053020902,"Brownwood, Minneapolis, MN",1413
17097861202,"Round Lake Beach, IL",1396
6067007206,"Elverta, CA",1395
34037374900,"Hopatcong, NJ",1377
13135050544,"Lawrenceville, GA",1374
37063001604,"Durham, NC",1363
32031003510,"Sparks, NV",1360
6059001801,"Fullerton, CA",1352
51710006902,"Norfolk, VA",1340
12099006906,"Delray Beach, FL",1338
6037133100,"Tarzana, Los Angeles, CA",1320
51153901900,"Manassas, VA",1312
12105012406,"Davenport, FL",1309
34025811200,"Howell, NJ",1307
39049006394,"Western Hills, Powell, OH",1304
47157004300,"Downtown, Memphis, TN",1297
11001008402,"Northeast Washington, Washington, DC",1295
36047112200,"Kings County, NY",1288
13121000600,"Home Park, Atlanta, GA",1275
24047950900,"Berlin, MD",1268
36047088400,"Kings County, NY",1262
53033030308,"Federal Way, WA",1261
37183053724,"Northwest Raleigh, Raleigh, NC",1260
6077005124,"Manteca, CA",1248
12057011407,"Carrollwood Village Phase II, Tampa, FL",1244
36047039500,"Kings County, NY",1238
17031800200,"Glencoe, IL",1228
12086008405,"Miami, FL",1227
24025303900,"Bel Air, MD",1211
6001424002,"Southwest Berkeley, Berkeley, CA",1211
25025170400,"Revere, MA",1211
42101001101,"Center City, Philadelphia, PA",1210
6059086301,"Southeast Anaheim, Anaheim, CA",1207
17201000402,"Rockford, IL",1206
27053104400,"Downtown West, Minneapolis, MN",1199
6037131800,"Reseda, Los Angeles, CA",1197
37119005617,"Silverwood, Charlotte, NC",1190
55131450105,"Slinger, WI",1181
6037500402,"El Rancho, Pico Rivera, CA",1179
48491020327,"North Buttercup Creek, Cedar Park, TX",1177
45091061005,"Fort Mill, SC",1175
24005420302,"Dundalk, MD",1174
42045406202,"Brookhaven, PA",1168
34015500600,"Mickleton, NJ",1163
6037183101,"Eagle Rock, Los Angeles, CA",1159
34031175401,"Passaic, NJ",1157
6037120104,"Panorama City, Los Angeles, CA",1156
13117130202,"Cumming, GA",1139
6025011000,"Imperial, CA",1133
6037540600,"South Los Angeles, Los Angeles, CA",1132
4025000500,"Prescott, AZ",1132
6073014806,"La Mesa, CA",1123
48113016522,"Cedar Hill, TX",1117
12031012000,"Northwest, Jacksonville, FL",1099
53053062600,"South Tacoma, Tacoma, WA",1097
42017101405,"Feasterville-Trevose, PA",1092
25017313101,"Tyngsborough, MA",1080
42101026700,"North Philadelphia, Philadelphia, PA",1077
33001966200,"Laconia, NH",1070
45015020718,"Summerville, SC",1058
47065011446,"Concord Audobon, Chattanooga, TN",1057
42095018300,"Bangor, PA",1056
36071011900,"Goshen, NY",1053
12023110602,"Lake City, FL",1047
6037531102,"Los Angeles, CA",1032
37021001900,"Beverly Hills, Asheville, NC",1028
48113017101,"Dallas, TX",1027
6001403501,"Oakland Ave - Harrison St, Oakland, CA",1010
42003459202,"Pittsburgh, PA",1009
12101031409,"New Port Richey, FL",1000
12011040300,"Knoll Ridge, Fort Lauderdale, FL",995
17089850500,"West Dundee, IL",992
41039002903,"Eugene, OR",984
8031001402,"Ruby Hill, Denver, CO",983
36027220700,"Poughkeepsie, NY",983
12071000503,"Fort Myers, FL",973
12086000209,"North Miami, FL",971
48309004000,"Crawford, TX",970
13063040416,"Forest Park, GA",965
51830370200,"Williamsburg, VA",960
29071800202,"Washington, MO",957
12086000124,"North Miami, FL",953
39049006387,"Brookside Woods, Columbus, OH",949
17031231200,"Humboldt Park, Chicago, IL",948
41047010202,"Hubbard, OR",946
17031010702,"Rogers Park, Chicago, IL",946
35001004738,"Westgate Heights, Albuquerque, NM",934
27053107600,"Cooper, Minneapolis, MN",931
49013940300,"Duchesne, UT",930
29510107500,"Mark Twain, St. Louis, MO",926
44007013701,"Cranston, RI",925
40109102900,"Central Oklahoma City, Oklahoma City, OK",918
55059002903,"Silver Lake, WI",916
26125183400,"Royal Oak, MI",916
22017024301,"Shreveport, LA",908
4017964202,"Clay Springs, AZ",901
55059000700,"Kenosha, WI",899
12086005202,"East Little Havana, Miami, FL",896
20091050301,"Morrison Ridge, Mission, KS",893
41051008301,"Powellhurst - Gilbert, Portland, OR",893
42101031200,"Oxford Circle/ Castor, Philadelphia, PA",892
4013061300,"Goodyear Estates, Goodyear, AZ",890
27053026809,"Minneapolis, MN",886
48201533500,"Hidden Valley, Houston, TX",885
53029970300,"Oak Harbor, WA",883
17097862402,"Waukegan, IL",883
17031031700,"Uptown, Chicago, IL",880
37119001607,"Eastland - Wilora Lake, Charlotte, NC",873
6067001300,"Central Sacramento, Sacramento, CA",872
48141004311,"Album, El Paso, TX",869
39061026600,"Dayton, OH",867
24015031202,"Perryville, MD",862
13121007802,"Niskey Cove, Atlanta, GA",858
9009351700,"Waterbury, CT",854
50025967100,"Bellows Falls, Town of Rockingham, VT",850
37071033304,"Gastonia, NC",841
36059407000,"Hempstead, NY",838
41031960302,"Culver, OR",836
41067032901,"Cornelius, OR",833
26125131800,"Highland, Highland Charter Township, MI",828
45073030602,"Seneca, SC",827
19113000902,"Cedar Rapids, IA",826
26163568900,"Westland, MI",825
29043020203,"Nixa, MO",824
4013422203,"Mesa, AZ",823
1089002600,"Huntsville, AL",818
45079002300,"Heathwood, Columbia, SC",817
17097862200,"Waukegan, IL",806
53063012801,"Spokane Valley, WA",804
26155030500,"Owosso, MI",801
21195930100,"Pikeville, KY",800
17143004101,"Edwards, IL",799
41005022906,"Canby, OR",793
37025040500,"Concord, NC",792
27123031200,"North End, Saint Paul, MN",790
36005017300,"Bronx County, NY",788
37159051204,"Salisbury, NC",782
26099251900,"Saint Clair Shores, MI",780
53077001202,"Yakima, WA",774
22103040709,"Slidell, LA",774
18177010100,"Richmond, IN",773
12107950100,"Palatka, FL",772
35025001003,"Lovington, NM",771
1089001000,"Huntsville, AL",767
48201323400,"Pasadena, TX",765
55079016600,"Milwaukee, WI",761
6073003115,"Bay Terraces, San Diego, CA",755
26149040700,"Sturgis, MI",750
39055310900,"Chardon, OH",750
25009207000,"Lynn, MA",750
26163541000,"Detroit, MI",748
13047030202,"Ringgold, GA",745
18097351000,"Indianapolis, IN",742
1015001800,"Weaver, AL",740
39035188105,"Warrensville Heights, OH",737
39035120702,"Mount Pleasant, Cleveland, OH",737
30031000800,"Bozeman, MT",733
39051040200,"Swanton, OH",730
26073000500,"Mount Pleasant, MI",728
37067003201,"Kernersville, NC",724
39035161200,"Lakewood, OH",722
39035112200,"Hough, Cleveland, OH",719
47037010301,"Goodlettsville, TN",717
21215080102,"Taylorsville, KY",713
49057201600,"Ogden, UT",710
37145920100,"Roxboro, NC",703
72127010022,"San Juan, PR",702
42129804801,"Greensburg, PA",701
42021012500,"Ebensburg, PA",698
39035115200,"South Broadway, Cleveland, OH",695
32019960800,"Yerington, NV",695
21185030602,"Crestwood, KY",694
18095011300,"Chesterfield, IN",693
6033000801,"Clearlake, CA",693
17085020300,"Galena, IL",691
47179060800,"Tree Streets, Johnson City, TN",690
36067013000,"Syracuse, NY",687
42107000602,"Shenandoah, PA",686
42021011700,"Ebensburg, PA",681
19193001800,"Sioux City, IA",681
21227011300,"Bowling Green, KY",680
20173008700,"La Placita Park, Wichita, KS",676
18027954400,"Washington, IN",665
28163950600,"Yazoo City, MS",664
45055970100,"Bethune, SC",663
4019003501,"Naylor, Tucson, AZ",662
39035119702,"Buckeye - Shaker, Cleveland, OH",656
26049011209,"Grand Blanc, MI",656
39095007302,"Reynolds Corners, Toledo, OH",653
37111970800,"Old Fort, NC",645
36059407402,"Uniondale, NY",640
21117064700,"Fort Mitchell, KY",638
47013950600,"LaFollette, TN",637
37121950400,"Spruce Pine, NC",637
47099960200,"Lawrenceburg, TN",635
18017951400,"Logansport, IN",633
45051070400,"Conway, SC",632
72113072900,"Ponce, PR",626
37159051901,"Mount Ulla, NC",625
31151960900,"Wilber, NE",624
37035010303,"Hickory, NC",619
19173180100,"Lenox, IA",618
56043000301,"Worland, WY",612
1065040100,"Akron, AL",603
47035970501,"Crossville, TN",602
23021960600,"Sangerville, ME",600
42057960100,"McConnellsburg, PA",599
48141003501,"Stiles Garden, El Paso, TX",592
42067070100,"Mifflintown, PA",591
45073030902,"Seneca, SC",588
17073030900,"Kewanee, IL",587
39173022400,"North Baltimore, OH",587
29127960500,"Hannibal, MO",586
39059977100,"Quaker City, OH",584
47121960100,"Ten Mile, TN",583
26049012602,"Montrose, MI",583
29203470200,"Birch Tree, MO",582
39163953100,"McArthur, OH",577
72127006300,"San Juan, PR",574
39013012200,"Saint Clairsville, OH",563
21087930200,"Greensburg, KY",531
29023950202,"Poplar Bluff, MO",508
55035960300,,
36119008602,"Purchase, Harrison, NY",3326
34003020200,"Franklin Lakes, NJ",2922
6059062630,"Turtle Rock, Irvine, CA",2778
34039038700,"Fanwood, NJ",2689
4013216848,"North Scottsdale, Scottsdale, AZ",2618
12071001915,"Fort Myers, FL",2591
6037800325,"Westlake Village, CA",2589
6085504317,"North San Jose, San Jose, CA",2526
34035052203,"Warren, NJ",2509
9001030300,"Darien, CT",2492
36061010000,"Midtown East, New York, NY",2372
6037134302,"West Hills, Los Angeles, CA",2359
6013352202,"Moraga, CA",2246
6001450602,"Pleasanton, CA",2101
6085504802,"Lakewood, Sunnyvale, CA",2004
6037920109,"Valencia, Santa Clarita, CA",1940
51107611016,"Ashburn, VA",1934
25025060200,"City Point, Boston, MA",1914
6013345111,"San Ramon, CA",1903
12086002703,"Edgewater, Miami, FL",1882
36081124700,"Queens County, NY",1844
11001010100,"Downtown, Washington, DC",1821
24031702401,"Silver Spring, MD",1722
6037301501,"Grandview, Glendale, CA",1708
32003002977,"Las Vegas, NV",1675
6013356002,"Hercules, CA",1655
6037920314,"Santa Clarita, CA",1652
