"tract","Name","Individual_Income_Excluding_Spouse_rP_gF_pall"
9003460203,"Farmington, CT",44029
36081048900,"Queens County, NY",44023
36059415102,"Merrick, NY",44020
6075040200,"Inner Richmond, San Francisco, CA",44010
42017105509,"Yardley, PA",44003
51760050300,"Near West End, Richmond, VA",43997
6081604700,"Millbrae, CA",43996
26125152000,"Bloomfield Hills, MI",43989
36119014809,"Yorktown Heights, NY",43983
6013355114,"Danville, CA",43972
9001045400,"Wilton, CT",43971
36103135005,"Saint James, NY",43966
6075012700,"Marina District, San Francisco, CA",43947
34035053602,"Branchburg, NJ",43943
36103147503,"Great River, NY",43943
51059460100,"Vienna, VA",43937
9001060100,"Fairfield, CT",43923
34013016000,"Glen Ridge, NJ",43920
6085511100,"Duveneck - St. Francis, Palo Alto, CA",43890
36059404600,"Floral Park, NY",43888
22071013302,"Gentilly, New Orleans, LA",43887
9001050200,"Westport, CT",43880
6037620305,"Manhattan Beach, CA",43880
11001000600,"Northwest Washington, Washington, DC",43877
36119014606,"Cortlandt, NY",43874
19103002300,"Lincoln, Iowa City, IA",43873
36059518201,"Oyster Bay, NY",43871
6075047801,"Outer Richmond, San Francisco, CA",43871
17097864515,"Buffalo Grove, IL",43860
36081120300,"Queens County, NY",43858
48201412300,"Southwest Houston, Houston, TX",43857
34021004306,"Princeton Junction, West Windsor Township, NJ",43852
24027605505,"River Hill, Clarksville, MD",43845
34027045701,"Randolph, NJ",43844
6013355117,"San Ramon, CA",43827
15003000500,"Waialae - Kahala, Honolulu, HI",43817
17031800200,"Glencoe, IL",43816
36119012700,"Bedford, NY",43811
51107611900,"Ashburn, VA",43811
51059470800,"McLean, VA",43810
34003003402,"Bergenfield, NJ",43808
36061015002,"Upper East Side, New York, NY",43808
36081075701,"Queens County, NY",43806
25021403100,"Needham, MA",43806
25017369000,"North Waltham, Waltham, MA",43796
31055007405,"West Omaha, Omaha, NE",43776
24510271400,"Evergreen, Baltimore, MD",43773
24031701006,"Rockville, MD",43761
6037670326,"Palos Verdes Estates, CA",43751
8005006857,"Greenwood Village, CO",43750
36119014811,"Yorktown Heights, NY",43730
42091201404,"Fort Washington, PA",43727
6085504414,"Milpitas, CA",43721
15003006806,"Aliamanu - Salt Lakes - Foster Village, Honolulu, HI",43717
26161403100,"Wines, Ann Arbor, MI",43702
34031124312,"Clifton, NJ",43695
24510271501,"Mount Washington, Baltimore, MD",43694
34023007911,"Matawan, NJ",43693
36065025100,"New Hartford, NY",43693
6081609400,"San Carlos, CA",43690
36059407900,"East Meadow, NY",43683
36119013102,"Chappaqua, NY",43672
36047068600,"Kings County, NY",43648
51059491405,"Clifton, VA",43644
34003027000,"Ho-Ho-Kus, NJ",43635
27053105100,"Bryn Mawr, Minneapolis, MN",43635
17031801607,"Glenview, IL",43632
36087011302,"Nanuet, NY",43623
51059480201,"McLean, VA",43620
36081148300,"Queens County, NY",43618
25009253204,"North Andover, MA",43610
34039036500,"Westfield, NJ",43610
27053021800,"Minneapolis, MN",43608
25021416300,"Milton, MA",43601
36059303102,"New Hyde Park, NY",43597
6081608300,"Foster City, CA",43594
36059404300,"Bellerose Terrace, Floral Park, NY",43589
6085507600,"Saratoga, CA",43584
24005404900,"Owings Mills, MD",43576
6085502601,"Central San Jose, San Jose, CA",43570
48113013102,"North Dallas, Dallas, TX",43565
6037670416,"Rancho Palos Verdes, CA",43563
24031705100,"Chevy Chase, MD",43552
34023001415,"Edison, NJ",43552
9001011100,"Riverside, Greenwich, CT",43550
36081098700,"Queens County, NY",43548
36103111300,"Huntington, NY",43538
6081609601,"San Carlos, CA",43537
48201340400,"Clear Lake, Houston, TX",43533
36103158010,"Setauket- East Setauket, NY",43524
6075033000,"Parkside, San Francisco, CA",43522
10005051202,"Bethany Beach, DE",43521
42029303100,"West Chester, PA",43521
24031700606,"North Potomac, MD",43520
36061013000,"Lenox Hill, New York, NY",43515
6001441501,"Union City, CA",43512
36059303400,"East Williston, NY",43509
53033006300,"Madison Park, Seattle, WA",43506
8005006704,"Englewood, CO",43498
34003053100,"Saddle River, NJ",43494
